dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
MDPE,OADNet_text,1,2026,1.0,2.0,mondrian,reject_rate,0.6,0.6052631578947368,0.6052631578947368,1.3201754385964912,1.3201754385964912,0.0
MDPE,OADNet_text,2,123,1.0,0.25,mondrian,reject_rate,0.6,0.6263383297644539,0.6263383297644539,0.2700749464668094,0.2700749464668094,0.0
MDPE,OADNet_text,2,123,1.0,0.5,mondrian,reject_rate,0.6,0.6263383297644539,0.6263383297644539,0.4266595289079229,0.4266595289079229,0.0
MDPE,OADNet_text,2,123,1.0,1.0,mondrian,reject_rate,0.6,0.6263383297644539,0.6263383297644539,0.7398286937901499,0.7398286937901499,0.0
MDPE,OADNet_text,2,123,1.0,2.0,mondrian,reject_rate,0.6,0.6263383297644539,0.6263383297644539,1.366167023554604,1.366167023554604,0.0
MDPE,OADNet_text,3,42,1.0,0.25,mondrian,reject_rate,0.6,0.6228070175438597,0.6228070175438597,0.2719298245614035,0.2719298245614035,0.0
MDPE,OADNet_text,3,42,1.0,0.5,mondrian,reject_rate,0.6,0.6228070175438597,0.6228070175438597,0.4276315789473684,0.4276315789473684,0.0
MDPE,OADNet_text,3,42,1.0,1.0,mondrian,reject_rate,0.6,0.6228070175438597,0.6228070175438597,0.7390350877192983,0.7390350877192983,0.0
MDPE,OADNet_text,3,42,1.0,2.0,mondrian,reject_rate,0.6,0.6228070175438597,0.6228070175438597,1.361842105263158,1.361842105263158,0.0
MDPE,OADNet_text,3,123,1.0,0.25,mondrian,reject_rate,0.6,0.5921052631578947,0.5921052631578947,0.28289473684210525,0.28289473684210525,0.0
MDPE,OADNet_text,3,123,1.0,0.5,mondrian,reject_rate,0.6,0.5921052631578947,0.5921052631578947,0.4309210526315789,0.4309210526315789,0.0
MDPE,OADNet_text,3,123,1.0,1.0,mondrian,reject_rate,0.6,0.5921052631578947,0.5921052631578947,0.7269736842105263,0.7269736842105263,0.0
