source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
SEUMLD_OADNet_audio,10.0,0.6,uni,25,0.81815641577777,0.6665753199071256,0.09952459899295564,0.03853441568312515,0.68,1.0,0.0,0.2,0.2,0.0
SEUMLD_OADNet_audio,10.0,0.7,cs,25,0.5596936657271381,0.7284537744248658,0.14284554442151273,0.005262123409319252,0.64,1.0,0.0,0.2,0.02,0.0
SEUMLD_OADNet_audio,10.0,0.7,uni,25,0.7586717072875598,0.7411320217890892,0.07420469795115024,0.0313900998441865,0.64,1.0,0.0,0.15,0.15,0.0
SEUMLD_OADNet_audio,10.0,0.8,cs,25,0.5408512386861726,0.7964112520353501,0.10103517301108252,0.004161043965741488,0.4,1.0,0.0,0.2,0.02,0.0
SEUMLD_OADNet_audio,10.0,0.8,uni,25,0.6818384005782172,0.829059480281368,0.04558534071769892,0.022172331971983438,0.64,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_text,2.0,0.6,cs,25,0.4600545463711634,0.5659852540294079,0.10266633098729894,0.03719779418458028,0.36,0.88,0.0,0.2,0.1,0.0
SEUMLD_OADNet_text,2.0,0.6,uni,25,0.4571862953269777,0.5425894277749126,0.08278815712676069,0.051551712156380367,0.24,1.0,0.0,0.15,0.15,0.0
SEUMLD_OADNet_text,2.0,0.7,cs,25,0.4665190125844557,0.6645621923168783,0.07927319170952171,0.027482362358247404,0.2,1.0,0.0,0.15,0.075,0.0
SEUMLD_OADNet_text,2.0,0.7,uni,25,0.4558338948844199,0.6459590236006347,0.060355350465041084,0.03624951630953072,0.2,1.0,0.0,0.1,0.1,0.0
SEUMLD_OADNet_text,2.0,0.8,cs,25,0.4655746884434713,0.7553879180794687,0.05431531770051769,0.016782705851609608,0.24,1.0,0.0,0.1,0.05,0.0
SEUMLD_OADNet_text,2.0,0.8,uni,25,0.46509363160031725,0.7381956933809394,0.043693072562504084,0.026151356173671713,0.2,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_text,3.0,0.6,cs,25,0.49812684948803293,0.596606878534636,0.11150697839257734,0.029438810609379203,0.36,0.6,0.0,0.3,0.09999999999999999,0.0
SEUMLD_OADNet_text,3.0,0.6,free2d,25,0.5140030070153233,0.5952564509563605,0.057047773925327186,0.05310900253727196,0.4,1.0,0.0,0.075,0.2,0.0
